Date of Collection,Country Stats Detection Type,Threat Type,Threat Name,Threat Value (%),Threat Link
2026-02-11,On-Demand Scan,Trojan,Trojan.BAT.Obfus.gen,1.3%,https://threats.kaspersky.com/en/threat/Trojan.BAT.Obfus.gen
2026-02-11,On-Demand Scan,Trojan,Trojan.Multi.CmdRedirector.a,1.28%,https://threats.kaspersky.com/en/threat/Trojan.Multi.CmdRedirector.a
2026-02-11,On-Demand Scan,Trojan,Trojan.MSIL.Inject.gen,1.13%,https://threats.kaspersky.com/en/threat/Trojan.MSIL.Inject.gen
2026-02-11,Mail Anti Virus,Trojan,Trojan.Script.Generic,21.11%,https://threats.kaspersky.com/en/threat/Trojan.Script.Generic
2026-02-11,Mail Anti Virus,Trojan,Trojan.Script.Agent.gen,11.87%,https://threats.kaspersky.com/en/threat/Trojan.Script.Agent.gen
2026-02-11,Mail Anti Virus,Trojan-Downloader,Trojan-Downloader.Script.Generic,9.62%,https://threats.kaspersky.com/en/threat/Trojan-Downloader.Script.Generic
2026-02-11,Mail Anti Virus,Trojan,Trojan.PDF.Badur.gen,9.47%,https://threats.kaspersky.com/en/threat/Trojan.PDF.Badur.gen
2026-02-11,Mail Anti Virus,DangerousObject,DangerousObject.Multi.Generic,7.3%,https://threats.kaspersky.com/en/threat/DangerousObject.Multi.Generic
2026-02-11,Mail Anti Virus,Trojan-PSW,Trojan-PSW.MSIL.Agensla.gen,4.73%,https://threats.kaspersky.com/en/threat/Trojan-PSW.MSIL.Agensla.gen
2026-02-11,Mail Anti Virus,Hoax,Hoax.Script.Scaremail.gen,3.44%,https://threats.kaspersky.com/en/threat/Hoax.Script.Scaremail.gen
2026-02-11,Mail Anti Virus,Exploit,Exploit.MSOffice.CVE-2017-11882.g,3.43%,https://threats.kaspersky.com/en/threat/Exploit.MSOffice.CVE-2017-11882.g
2026-02-11,Mail Anti Virus,Trojan,Trojan.MSIL.Taskun.gen,1.7%,https://threats.kaspersky.com/en/threat/Trojan.MSIL.Taskun.gen
2026-02-11,Mail Anti Virus,Trojan,Trojan.MSIL.Crypt.gen,1.64%,https://threats.kaspersky.com/en/threat/Trojan.MSIL.Crypt.gen
2026-02-11,Web Anti-Virus,Trojan,Trojan.Script.Generic,27.26%,https://threats.kaspersky.com/en/threat/Trojan.Script.Generic
2026-02-11,Web Anti-Virus,Trojan,Trojan.PDF.Badur.gen,25.23%,https://threats.kaspersky.com/en/threat/Trojan.PDF.Badur.gen
2026-02-11,Web Anti-Virus,Trojan,Trojan.Multi.Runner.e,9.54%,https://threats.kaspersky.com/en/threat/Trojan.Multi.Runner.e
2026-02-11,Web Anti-Virus,Trojan-Clicker,Trojan-Clicker.Script.GhostPlugin.gen,6.38%,https://threats.kaspersky.com/en/threat/Trojan-Clicker.Script.GhostPlugin.gen
2026-02-11,Web Anti-Virus,Trojan-Downloader,Trojan-Downloader.Script.Generic,5.6%,https://threats.kaspersky.com/en/threat/Trojan-Downloader.Script.Generic
2026-02-11,Web Anti-Virus,Trojan,Trojan.BAT.Agent.azf,3.66%,https://threats.kaspersky.com/en/threat/Trojan.BAT.Agent.azf
2026-02-11,Web Anti-Virus,Exploit,Exploit.Win32.MS05-036,3.63%,https://threats.kaspersky.com/en/threat/Exploit.Win32.MS05-036
2026-02-11,Web Anti-Virus,Trojan,Trojan.Script.Agent.gen,2.74%,https://threats.kaspersky.com/en/threat/Trojan.Script.Agent.gen
